min,mean,max,date
48,58,68,'2014-10-10'
48,58,69,'2014-10-11'
48,60,71,'2014-10-12'
48,59,70,'2014-10-13'
51,61,71,'2014-10-14'
53,61,71,'2014-10-15'
53,62,72,'2014-10-16'
62,66,71,'2014-10-17'
51,61,71,'2014-10-18'
48,56,65,'2014-10-19'
44,54,63,'2014-10-20'
42,56,70,'2014-10-21'
46,56,66,'2014-10-22'
41,46,52,'2014-10-23'
39,43,47,'2014-10-24'
39,44,50,'2014-10-25'
36,44,53,'2014-10-26'
39,48,56,'2014-10-27'
41,47,53,'2014-10-28'
43,50,57,'2014-10-29'
40,48,57,'2014-10-30'
43,48,54,'2014-10-31'
37,45,53,'2014-11-01'
32,43,54,'2014-11-02'
36,46,56,'2014-11-03'
38,46,55,'2014-11-04'
43,52,62,'2014-11-05'
44,52,60,'2014-11-06'
48,54,60,'2014-11-07'
50,54,58,'2014-11-08'
48,53,56,'2014-11-09'
46,54,60,'2014-11-10'
43,51,59,'2014-11-11'
46,52,59,'2014-11-12'
47,52,56,'2014-11-13'
45,50,54,'2014-11-14'
41,50,59,'2014-11-15'
46,52,57,'2014-11-16'
43,52,58,'2014-11-17'
40,51,62,'2014-11-18'
47,50,54,'2014-11-19'
35,47,56,'2014-11-20'
30,41,52,'2014-11-21'
29,40,50,'2014-11-22'
28,40,51,'2014-11-23'
32,42,51,'2014-11-24'
32,40,48,'2014-11-25'
39,40,40,'2014-11-26'
39,42,46,'2014-11-27'
42,46,51,'2014-11-28'
41,49,57,'2014-11-29'
48,52,55,'2014-11-30'
44,49,54,'2014-12-01'
46,50,55,'2014-12-02'
42,49,56,'2014-12-03'
41,48,54,'2014-12-04'
46,50,54,'2014-12-05'
46,49,54,'2014-12-06'
39,46,54,'2014-12-07'
36,42,49,'2014-12-08'
38,44,49,'2014-12-09'
35,42,49,'2014-12-10'
36,43,50,'2014-12-11'
35,44,54,'2014-12-12'
30,40,50,'2014-12-13'
26,39,52,'2014-12-14'
26,36,46,'2014-12-15'
39,44,50,'2014-12-16'
41,45,49,'2014-12-17'
32,40,49,'2014-12-18'
32,40,47,'2014-12-19'
32,42,51,'2014-12-20'
33,39,45,'2014-12-21'
26,36,45,'2014-12-22'
24,37,50,'2014-12-23'
26,38,51,'2014-12-24'
24,38,52,'2014-12-25'
32,42,48,'2014-12-26'
22,34,44,'2014-12-27'
22,31,40,'2014-12-28'
18,28,32,'2014-12-29'
11,15,19,'2014-12-30'
14,18,22,'2014-12-31'
14,21,28,'2015-01-01'
12,23,34,'2015-01-02'
22,32,42,'2015-01-03'
30,38,45,'2015-01-04'
20,27,34,'2015-01-05'
14,24,33,'2015-01-06'
10,22,33,'2015-01-07'
10,22,34,'2015-01-08'
15,28,42,'2015-01-09'
35,45,51,'2015-01-10'
23,36,49,'2015-01-11'
31,38,45,'2015-01-12'
21,32,43,'2015-01-13'
19,32,45,'2015-01-14'
23,36,50,'2015-01-15'
23,36,48,'2015-01-16'
26,37,48,'2015-01-17'
28,34,41,'2015-01-18'
35,38,42,'2015-01-19'
32,40,47,'2015-01-20'
33,44,54,'2015-01-21'
35,44,53,'2015-01-22'
39,45,51,'2015-01-23'
35,42,48,'2015-01-24'
32,38,43,'2015-01-25'
32,36,39,'2015-01-26'
33,39,45,'2015-01-27'
34,38,43,'2015-01-28'
32,40,49,'2015-01-29'
41,45,49,'2015-01-30'
33,38,43,'2015-01-31'
32,38,45,'2015-02-01'
33,37,39,'2015-02-02'
30,38,45,'2015-02-03'
32,36,41,'2015-02-04'
34,42,51,'2015-02-05'
37,42,48,'2015-02-06'
37,44,50,'2015-02-07'
31,38,42,'2015-02-08'
22,26,28,'2015-02-09'
18,26,34,'2015-02-10'
23,31,39,'2015-02-11'
19,29,39,'2015-02-12'
23,33,43,'2015-02-13'
26,37,48,'2015-02-14'
24,36,48,'2015-02-15'
28,38,48,'2015-02-16'
28,37,46,'2015-02-17'
19,31,43,'2015-02-18'
19,32,44,'2015-02-19'
24,36,49,'2015-02-20'
29,42,54,'2015-02-21'
37,41,45,'2015-02-22'
38,44,50,'2015-02-23'
34,42,50,'2015-02-24'
41,44,48,'2015-02-25'
33,41,49,'2015-02-26'
39,46,52,'2015-02-27'
41,48,56,'2015-02-28'
39,46,52,'2015-03-01'
37,46,54,'2015-03-02'
39,50,60,'2015-03-03'
33,44,54,'2015-03-04'
39,44,48,'2015-03-05'
32,38,43,'2015-03-06'
30,36,41,'2015-03-07'
32,36,45,'2015-03-08'
31,38,46,'2015-03-09'
35,41,47,'2015-03-10'
31,40,44,'2015-03-11'
28,39,50,'2015-03-12'
30,38,47,'2015-03-13'
33,41,49,'2015-03-14'
30,42,55,'2015-03-15'
36,44,54,'2015-03-16'
35,44,53,'2015-03-17'
31,42,53,'2015-03-18'
33,39,45,'2015-03-19'
25,36,47,'2015-03-20'
24,38,51,'2015-03-21'
30,38,47,'2015-03-22'
37,42,48,'2015-03-23'
42,46,51,'2015-03-24'
42,44,47,'2015-03-25'
41,48,56,'2015-03-26'
45,48,50,'2015-03-27'
40,48,54,'2015-03-28'
36,46,56,'2015-03-29'
34,46,57,'2015-03-30'
40,50,60,'2015-03-31'
39,50,60,'2015-04-01'
34,44,53,'2015-04-02'
33,40,47,'2015-04-03'
28,39,50,'2015-04-04'
37,41,45,'2015-04-05'
32,36,41,'2015-04-06'
33,40,48,'2015-04-07'
32,40,49,'2015-04-08'
34,44,55,'2015-04-09'
32,45,58,'2015-04-10'
33,48,62,'2015-04-11'
38,50,63,'2015-04-12'
38,52,66,'2015-04-13'
39,52,65,'2015-04-14'
40,52,64,'2015-04-15'
40,54,68,'2015-04-16'
39,54,70,'2015-04-17'
51,60,69,'2015-04-18'
41,46,50,'2015-04-19'
41,50,59,'2015-04-20'
34,47,60,'2015-04-21'
36,50,63,'2015-04-22'
38,50,63,'2015-04-23'
42,52,63,'2015-04-24'
46,54,63,'2015-04-25'
43,56,69,'2015-04-26'
43,54,66,'2015-04-27'
50,57,64,'2015-04-28'
48,56,63,'2015-04-29'
42,55,68,'2015-04-30'
45,56,66,'2015-05-01'
44,52,61,'2015-05-02'
43,56,68,'2015-05-03'
49,63,77,'2015-05-04'
55,70,84,'2015-05-05'
54,68,82,'2015-05-06'
59,69,79,'2015-05-07'
52,63,74,'2015-05-08'
52,64,73,'2015-05-09'
47,56,65,'2015-05-10'
47,56,64,'2015-05-11'
47,58,69,'2015-05-12'
44,58,72,'2015-05-13'
46,60,74,'2015-05-14'
48,64,80,'2015-05-15'
55,68,81,'2015-05-16'
51,65,79,'2015-05-17'
57,67,77,'2015-05-18'
54,64,75,'2015-05-19'
50,60,71,'2015-05-20'
52,62,72,'2015-05-21'
53,62,73,'2015-05-22'
55,63,71,'2015-05-23'
48,59,70,'2015-05-24'
50,58,66,'2015-05-25'
50,59,68,'2015-05-26'
46,55,65,'2015-05-27'
48,56,65,'2015-05-28'
39,52,66,'2015-05-29'
43,58,72,'2015-05-30'
50,64,77,'2015-05-31'
50,60,71,'2015-06-01'
47,61,75,'2015-06-02'
50,64,79,'2015-06-03'
55,66,78,'2015-06-04'
56,67,78,'2015-06-05'
55,67,79,'2015-06-06'
54,66,78,'2015-06-07'
53,63,73,'2015-06-08'
56,66,75,'2015-06-09'
52,64,75,'2015-06-10'
52,65,78,'2015-06-11'
56,69,82,'2015-06-12'
56,70,83,'2015-06-13'
58,72,85,'2015-06-14'
57,70,84,'2015-06-15'
58,70,82,'2015-06-16'
56,68,79,'2015-06-17'
56,62,68,'2015-06-18'
52,63,74,'2015-06-19'
53,66,78,'2015-06-20'
55,61,67,'2015-06-21'
48,60,71,'2015-06-22'
47,62,77,'2015-06-23'
51,66,80,'2015-06-24'
53,64,76,'2015-06-25'
46,59,72,'2015-06-26'
53,64,76,'2015-06-27'
51,62,72,'2015-06-28'
53,65,77,'2015-06-29'
55,59,63,'2015-06-30'
52,62,73,'2015-07-01'
52,64,77,'2015-07-02'
55,67,79,'2015-07-03'
57,69,81,'2015-07-04'
57,69,81,'2015-07-05'
58,70,83,'2015-07-06'
61,74,86,'2015-07-07'
59,73,87,'2015-07-08'
62,76,89,'2015-07-09'
62,70,79,'2015-07-10'
61,70,78,'2015-07-11'
56,70,84,'2015-07-12'
59,72,86,'2015-07-13'
58,72,86,'2015-07-14'
61,74,86,'2015-07-15'
62,74,85,'2015-07-16'
63,76,90,'2015-07-17'
63,76,89,'2015-07-18'
63,76,90,'2015-07-19'
